decade, abiealba, fagusilv, elevation, area
0, 2057.85, 1883.08, 966, 0.8125
0, 2225.14, 1737.14, 967, 0.875
0, 2210.82, 1746.82, 968, 1.0625
0, 2002.67, 1921.78, 969, 1.125
0, 2572.57, 1373.71, 970, 0.875
0, 2140, 1913.33, 971, 1.5
0, 2292.57, 1792, 972, 1.3125
0, 2526.55, 1550.55, 973, 1.375
0, 2590, 1603, 974, 1
0, 2262.86, 1726.48, 975, 1.3125
0, 2243.76, 1804.24, 976, 1.0625
0, 2634.29, 1475.43, 977, 0.875
0, 2010.4, 1872, 978, 1.25
0, 2352, 1629.87, 979, 0.9375
0, 2228, 1823, 980, 1
0, 1862.86, 2212.57, 981, 0.875
0, 2309.71, 1697.14, 982, 0.875
0, 2131.76, 1829.65, 983, 1.0625
0, 2710.67, 1445.33, 984, 0.75
0, 1932, 1992, 985, 1.25
0, 2523.64, 1528.73, 986, 0.6875
0, 2628.92, 1217.23, 987, 0.8125
0, 2576, 1549, 988, 1
0, 2786.13, 1227.73, 989, 0.9375
0, 2295.2, 1470.4, 990, 1.25
0, 1658.67, 2181.33, 991, 0.1875
1, 1536, 1600, 603, 0.125
1, 1512, 1516, 605, 0.25
1, 1616, 1568, 606, 0.0625
1, 1844, 1224, 607, 0.25
1, 1488, 1328, 608, 0.1875
1, 1040, 1904, 609, 0.0625
1, 1605.33, 1610.67, 611, 0.1875
1, 2480, 760, 613, 0.125
1, 2032, 944, 615, 0.1875
1, 2172.8, 892.8, 616, 0.3125
1, 1189.33, 1786.67, 617, 0.1875
1, 1536, 1568, 618, 0.125
1, 1876, 1136, 619, 0.25
1, 992, 2293.33, 620, 0.1875
1, 1288, 1840, 621, 0.125
1, 1094.4, 1830.4, 622, 0.3125
1, 608, 2624, 623, 0.1875
1, 1589.33, 1424, 624, 0.375
1, 1530.67, 1706.67, 625, 0.1875
1, 1552, 1642.67, 626, 0.1875
1, 2360, 560, 627, 0.125
1, 1552, 1664, 629, 0.0625
1, 1108, 2116, 630, 0.25
1, 1514.67, 1557.33, 631, 0.1875
1, 1440, 1398.4, 632, 0.3125
1, 1672, 1600, 633, 0.125
1, 1530.67, 1829.33, 634, 0.1875
1, 2264, 752, 635, 0.125
1, 1504, 1632, 636, 0.0625
1, 1472, 1744, 637, 0.0625
1, 1616, 1856, 638, 0.0625
1, 1520, 1456, 639, 0.0625
1, 1356, 1924, 640, 0.5
1, 1104, 1408, 641, 0.0625
1, 784, 2704, 643, 0.125
1, 1328, 2080, 644, 0.0625
1, 1400, 1792, 645, 0.125
1, 1552, 2032, 646, 0.0625
1, 1496, 1924, 647, 0.25
1, 1520, 1733.33, 648, 0.1875
1, 1648, 1856, 649, 0.25
1, 1482.67, 1853.33, 650, 0.375
1, 2216, 1032, 651, 0.125
1, 1509.33, 1722.67, 652, 0.1875
1, 1632, 1816, 653, 0.125
1, 1971.2, 1344, 654, 0.3125
1, 1392, 1968, 655, 0.0625
